root_id,cell_type,side,nt
210840,PFNp_b,right,acetylcholine
211310,PFNp_b,right,acetylcholine
211994,PFNp_b,left,acetylcholine
212370,PFNp_b,right,acetylcholine
217691,PFNp_b,right,acetylcholine
224128,PFNp_b,right,acetylcholine
258715,IbSpsP,right,acetylcholine
259750,PFNp_b,right,acetylcholine
269054,PFNp_d,right,acetylcholine
273774,PFNm_b,left,acetylcholine
280345,PFNp_a,left,acetylcholine
434891,Delta7,right,glutamate
454614,ER4m,left,gaba
511777,ER3a_b,left,gaba
511841,Delta7,right,glutamate
511842,PFL2,left,acetylcholine
511844,PEG,left,acetylcholine
511846,PFR_a,left,serotonin
511857,ER1_c,left,gaba
512179,PFR_a,right,serotonin
512305,EPG,right,acetylcholine
512319,ER6,left,gaba
512513,EPG,right,acetylcholine
512514,EPG,left,acetylcholine
512515,ER3a_a,left,gaba
512606,ER3w_c,left,gaba
512607,ER3p_a,right,gaba
512608,ER3d_b,right,gaba
512793,PEG,left,acetylcholine
