root_id,cell_type,side,nt
29135,PEN_b(PEN2),right,acetylcholine
29177,ER3d_b,right,gaba
29261,PFNd,left,acetylcholine
29403,PFNa,left,acetylcholine
29493,PFNv,right,acetylcholine
29545,ER3w_b,right,gaba
29711,ER3a_b,left,gaba
29791,ER3d_b,left,gaba
29836,PFL3,left,acetylcholine
29842,ER3m,right,gaba
30171,ER3a_a,right,gaba
30178,ER3d_b,right,gaba
30181,PFR_b,left,acetylcholine
30206,ER5,right,gaba
30234,PFNd,left,acetylcholine
30310,PEN_b(PEN2),right,acetylcholine
30313,PFNv,left,acetylcholine
30371,ER1_a,right,gaba
30443,ER3a_c,right,gaba
30522,ER3d_b,right,gaba
30592,ER3d_b,right,gaba
30653,PFGs,right,serotonin
30674,ER3d_b,right,gaba
30781,PFNd,right,acetylcholine
30807,PEN_b(PEN2),left,acetylcholine
30968,PFNd,right,acetylcholine
31051,ER3m,right,gaba
31088,ER3p_a,right,gaba
31121,ER3a_c,left,gaba
31263,ER3d_b,right,gaba
31541,ER3d_d,right,gaba
31627,PFR_b,left,acetylcholine
31681,ER1_a,right,gaba
31684,ER3d_a,right,gaba
31735,ER1_a,left,gaba
31756,PFNd,left,acetylcholine
31786,PFR_b,right,acetylcholine
31970,ER3a_d,left,gaba
32258,PEN_b(PEN2),left,acetylcholine
32300,PFNa,left,acetylcholine
32315,ER1_a,left,gaba
32338,IbSpsP,right,acetylcholine
32393,IbSpsP,left,acetylcholine
32451,PFR_a,left,serotonin
32520,PFNa,left,acetylcholine
33293,PFR_a,right,serotonin
33298,PFR_b,left,acetylcholine
33307,PFNv,left,acetylcholine
33325,PFNd,left,acetylcholine
33552,PFR_a,right,serotonin
33589,ER3d_b,left,gaba
33598,PFR_b,right,acetylcholine
33911,ER3a_b,right,gaba
34038,ER3d_b,left,gaba
34085,PFNa,left,acetylcholine
34226,PFNd,right,acetylcholine
34239,ER3a_a,right,gaba
34607,ER4d,left,gaba
34652,ER1_b,left,gaba
34737,ER3a_b,right,gaba
34922,ER3a_b,right,gaba
34949,PEN_a(PEN1),left,acetylcholine
35013,PFNm_b,right,acetylcholine
35322,PFL3,right,acetylcholine
35324,Delta7,left,glutamate
35461,PFNd,left,acetylcholine
35545,ER3a_a,left,gaba
35641,ER3d_c,left,gaba
35743,PEN_a(PEN1),right,acetylcholine
35794,PFNd,right,acetylcholine
35865,PFNa,left,acetylcholine
35912,PFGs,left,serotonin
35978,ER1_b,left,gaba
36235,ER1_c,left,gaba
36327,ER3a_a,right,gaba
36384,ER1_b,right,gaba
36454,PFNa,right,acetylcholine
36524,ER2_a,left,gaba
36730,ER1_b,left,gaba
36928,ER3a_b,left,gaba
37058,ER1_b,right,gaba
37105,ER1_b,left,gaba
37142,PEN_a(PEN1),left,acetylcholine
37437,ER3d_e,left,gaba
37710,IbSpsP,left,acetylcholine
37751,PFNd,right,acetylcholine
37758,ER3d_a,right,gaba
37817,ER3d_e,right,gaba
38001,ER3a_d,left,gaba
38084,ER3m,left,gaba
38268,ER1_b,right,gaba
38306,ER3d_a,left,gaba
38334,PFNd,right,acetylcholine
38706,ExR2,right,dopamine
39095,ER1_a,left,gaba
39413,PEG,left,acetylcholine
39503,ER3p_a,left,gaba
39567,PFL1,left,acetylcholine
39753,PEG,left,acetylcholine
39798,ER5,left,gaba
39813,PEN_b(PEN2),left,acetylcholine
39879,IbSpsP,left,acetylcholine
39984,IbSpsP,left,acetylcholine
40037,PFNd,right,acetylcholine
40069,PFNd,left,acetylcholine
40213,ER1_b,left,gaba
40390,PEN_b(PEN2),right,acetylcholine
40558,ER3d_b,left,gaba
40768,EPGt,right,acetylcholine
41052,PFNa,right,acetylcholine
41556,PFNa,right,acetylcholine
41665,ER3a_c,left,gaba
41849,PFNd,left,acetylcholine
41908,ER3a_a,left,gaba
42059,PEG,left,acetylcholine
42241,ER1_b,right,gaba
42264,ER3d_e,right,gaba
42267,PFNd,left,acetylcholine
42332,IbSpsP,right,acetylcholine
42392,PFNa,right,acetylcholine
42509,ER1_a,right,gaba
42515,IbSpsP,left,acetylcholine
42734,IbSpsP,left,acetylcholine
42750,PFNd,left,acetylcholine
42835,PFNd,left,acetylcholine
43039,ER3d_d,left,gaba
43127,PFNd,right,acetylcholine
43212,ER3d_a,left,gaba
43683,ER3w_a,right,gaba
43866,IbSpsP,left,acetylcholine
43881,PFR_a,left,serotonin
44010,ER3w_b,left,gaba
44127,ER3d_d,right,gaba
44152,PFNa,left,acetylcholine
44256,PFGs,left,serotonin
44422,ER3m,left,gaba
44669,PFNv,right,acetylcholine
44814,ER3m,left,gaba
44830,ER3d_e,right,gaba
44909,ER5,left,gaba
45134,ER3p_b,left,gaba
45282,PFNp_c,right,acetylcholine
45398,PFNa,left,acetylcholine
45730,IbSpsP,left,acetylcholine
45839,ER3d_b,left,gaba
45969,PEG,right,acetylcholine
46089,ER3p_a,left,gaba
46242,ER3w_a,left,gaba
46262,ER3d_b,left,gaba
46341,ER3w_b,left,gaba
46358,PFNv,left,acetylcholine
46590,PFNd,left,acetylcholine
46707,ER3w_a,left,gaba
47036,ER3d_a,right,gaba
47186,ER3m,right,gaba
47194,PFNa,right,acetylcholine
47271,ER3p_a,left,gaba
47369,PFNv,right,acetylcholine
47464,ER3d_d,right,gaba
47528,PFNd,left,acetylcholine
47619,PFNa,right,acetylcholine
47687,PFNa,right,acetylcholine
47859,ER3d_c,right,gaba
48096,ER3p_a,left,gaba
48291,ER3w_b,left,gaba
48318,ER3d_c,left,gaba
48667,PFNv,right,acetylcholine
48956,ER3d_b,right,gaba
49002,ER3p_a,left,gaba
49288,PFR_a,right,serotonin
49378,ER3d_c,right,gaba
49627,IbSpsP,left,acetylcholine
49630,PFNv,left,acetylcholine
49839,PFNv,right,acetylcholine
49869,ER3p_b,right,gaba
50007,ER3p_a,left,gaba
50694,ER3w_b,left,gaba
50808,ER4d,left,gaba
50888,ER2_c,left,gaba
50952,IbSpsP,left,acetylcholine
50984,PFNm_a,right,acetylcholine
51365,PFNp_c,right,acetylcholine
51382,ER3d_b,left,gaba
51509,PFNp_c,right,acetylcholine
51619,PFNa,left,acetylcholine
51622,PFNm_a,right,acetylcholine
51759,IbSpsP,left,acetylcholine
52041,PFGs,left,serotonin
52647,PFNa,right,acetylcholine
52832,ER3m,right,gaba
52846,PFNa,right,acetylcholine
52903,PFNd,right,acetylcholine
53043,PFNd,left,acetylcholine
53086,PEN_a(PEN1),left,acetylcholine
53176,PFNa,right,acetylcholine
53618,ER3p_b,left,gaba
53745,ER3p_a,left,gaba
53755,PFR_a,right,serotonin
53796,PFNp_c,left,acetylcholine
54597,ER1_a,left,gaba
54776,PFNd,right,acetylcholine
54912,ER3d_b,left,gaba
55481,PFNp_c,left,acetylcholine
55527,PEN_b(PEN2),right,acetylcholine
55630,EPGt,right,acetylcholine
56993,ER3a_a,left,gaba
57384,PFR_a,right,serotonin
57536,PFNp_c,left,acetylcholine
57591,EPGt,left,acetylcholine
57600,PFNm_b,right,acetylcholine
58561,PFGs,left,serotonin
58585,PFNm_a,left,acetylcholine
59108,PFR_a,right,serotonin
59230,ER3m,right,gaba
59288,PFR_a,right,serotonin
59337,ER3w_b,left,gaba
59425,IbSpsP,right,acetylcholine
59735,PFNm_a,right,acetylcholine
59983,PFNv,right,acetylcholine
59994,PFR_b,left,acetylcholine
60361,PFNa,right,acetylcholine
60449,PFNp_c,right,acetylcholine
60481,PFNp_a,right,acetylcholine
61234,PFNp_c,right,acetylcholine
61273,ER1_b,left,gaba
61290,PFNp_c,right,acetylcholine
61553,PFR_a,right,serotonin
62463,PFNa,left,acetylcholine
63782,ER3d_c,left,gaba
64029,PFNa,left,acetylcholine
64298,PFNp_b,left,acetylcholine
64541,PFNa,left,acetylcholine
65180,PFNm_a,left,acetylcholine
65722,PFNp_e,right,acetylcholine
66841,PFNa,left,acetylcholine
67019,PFNa,right,acetylcholine
67174,ER1_a,right,gaba
67598,PFNp_c,left,acetylcholine
68387,IbSpsP,left,acetylcholine
68438,PFNp_a,right,acetylcholine
69064,PFR_a,left,serotonin
69262,PFNp_c,right,acetylcholine
69319,ER1_a,right,gaba
69454,ER3a_d,left,gaba
69515,PFNd,right,acetylcholine
69541,PFNm_a,right,acetylcholine
69599,PFNp_e,left,acetylcholine
69938,IbSpsP,left,acetylcholine
70230,PFNp_c,right,acetylcholine
70307,PFNa,left,acetylcholine
70533,PFNa,right,acetylcholine
70894,PFNa,left,acetylcholine
71503,ER1_c,right,gaba
71747,PFNm_a,right,acetylcholine
71752,PFNp_a,left,acetylcholine
71991,IbSpsP,left,acetylcholine
72143,PFNp_c,left,acetylcholine
72472,PFNm_b,right,acetylcholine
72491,ER1_c,right,gaba
72669,PFNp_e,right,acetylcholine
72824,ER3a_a,right,gaba
73114,PFNp_c,right,acetylcholine
74366,PFNp_c,left,acetylcholine
74836,PFNa,right,acetylcholine
74917,PFR_a,right,serotonin
74988,PFNp_e,left,acetylcholine
75598,PFNa,right,acetylcholine
75651,PFNa,right,acetylcholine
75724,PFNm_a,right,acetylcholine
76194,PEN_a(PEN1),right,acetylcholine
76492,PFNp_c,right,acetylcholine
76931,PFL1,right,acetylcholine
77211,PFNm_a,right,acetylcholine
77285,PFNa,left,acetylcholine
77360,PFNd,right,acetylcholine
77801,PFNm_a,right,acetylcholine
78121,PFNp_c,right,acetylcholine
79549,PFL3,right,acetylcholine
79615,PFR_b,left,acetylcholine
79639,PFNm_a,right,acetylcholine
80388,PFNp_e,left,acetylcholine
80453,PFNd,right,acetylcholine
80867,ER1_a,right,gaba
81159,PEG,left,acetylcholine
81432,PFNa,left,acetylcholine
82772,PFNa,right,acetylcholine
83478,PFNp_c,right,acetylcholine
84064,PFNp_c,left,acetylcholine
84617,PFNp_a,right,acetylcholine
84758,EPG,left,acetylcholine
88014,PFR_a,left,serotonin
88342,EPG,left,acetylcholine
90574,PFR_a,left,serotonin
92188,EPG,right,acetylcholine
93186,PFNp_c,left,acetylcholine
94487,IbSpsP,right,acetylcholine
94980,IbSpsP,right,acetylcholine
97083,PFNa,right,acetylcholine
97512,IbSpsP,right,acetylcholine
97678,PFNv,left,acetylcholine
98337,PFNa,right,acetylcholine
98391,PFNa,left,acetylcholine
98430,PFNp_e,left,acetylcholine
98471,PFNp_a,left,acetylcholine
98874,PFNd,left,acetylcholine
99942,PFNp_a,right,acetylcholine
100809,PEG,left,acetylcholine
101125,PFNm_a,right,acetylcholine
101791,PFNp_e,left,acetylcholine
101898,PFNa,left,acetylcholine
102209,PFNa,left,acetylcholine
102689,PFNv,right,acetylcholine
104306,ER3a_a,left,gaba
104473,PFNp_b,right,acetylcholine
107195,EPG,left,acetylcholine
107497,PFNp_e,right,acetylcholine
107571,PFNm_b,left,acetylcholine
108042,PFNp_b,right,acetylcholine
108332,PFNp_a,left,acetylcholine
108478,PFL3,left,acetylcholine
109806,PFNm_b,left,acetylcholine
110276,PFNp_b,right,acetylcholine
110439,PFNp_c,left,acetylcholine
111108,PFNa,right,acetylcholine
112039,PFNp_a,right,acetylcholine
112250,PFNp_c,right,acetylcholine
112377,PFNp_b,right,acetylcholine
112723,PFNp_e,right,acetylcholine
112756,PFNp_e,right,acetylcholine
113489,PFNp_a,right,acetylcholine
114050,PFNa,right,acetylcholine
114426,PFNm_b,right,acetylcholine
114647,PFNm_b,left,acetylcholine
115260,PFNa,left,acetylcholine
115624,PFNa,right,acetylcholine
116777,PFNp_e,left,acetylcholine
117879,PFNp_b,right,acetylcholine
118288,PFNm_b,right,acetylcholine
118973,PFNm_b,right,acetylcholine
