root_id,cell_type,side,nt
720575940613301471,PFNp,right,acetylcholine
720575940613338521,ER3d,left,gaba
720575940613353726,PFNa,right,acetylcholine
720575940613374879,PFNp,left,acetylcholine
720575940613403042,PFNp,left,acetylcholine
720575940613412258,PFNp,right,acetylcholine
720575940613434786,PFNm,right,acetylcholine
720575940613441442,PFNa,right,acetylcholine
720575940613492114,PFNp,right,acetylcholine
720575940613497490,PFNm,left,acetylcholine
720575940613526674,PFNp,left,acetylcholine
720575940613552018,PFNp,right,acetylcholine
720575940613674663,PFNd,right,acetylcholine
720575940613676402,ER3m,right,gaba
720575940613686442,ER1,left,gaba
720575940613700674,ER3p_a,right,gaba
720575940613714430,PFNd,right,acetylcholine
720575940613754527,PFNd,left,acetylcholine
720575940613825695,ER3p_a,left,gaba
720575940613829535,PFL1,right,acetylcholine
720575940613829900,EPG,right,acetylcholine
720575940613836438,EPG,right,acetylcholine
720575940613869974,IbSpsP,left,acetylcholine
720575940613958412,PFNm,left,acetylcholine
720575940614002143,PFNp,right,acetylcholine
720575940614073315,ER3d,right,gaba
720575940614123570,PFNp,left,acetylcholine
720575940614297640,EPG,right,acetylcholine
720575940614326782,IbSpsP,right,acetylcholine
720575940614355654,PFNp,right,acetylcholine
720575940614686943,ER2,left,gaba
720575940614735558,PFNp,left,acetylcholine
720575940614886331,PFNp,left,serotonin
720575940614900127,PFNm,right,acetylcholine
720575940614920379,PFNa,left,acetylcholine
720575940614923963,PFNp,right,acetylcholine
720575940614926475,EPG,left,acetylcholine
720575940615043670,PFNp,right,acetylcholine
720575940615089494,ER2,left,gaba
720575940615098683,PFNp,left,acetylcholine
720575940615101747,ExR1,right,acetylcholine
720575940615177099,PEN_b(PEN2),left,acetylcholine
720575940615183755,PFNd,left,acetylcholine
720575940615220802,PFNv,left,acetylcholine
720575940615324670,ER4m,left,gaba
720575940615444882,ER3p_a,left,gaba
720575940615502130,PFNd,right,acetylcholine
720575940615526289,ER3d,left,gaba
720575940615620002,LNO2,right,glutamate
720575940615650022,ER5,right,gaba
720575940615654100,PFNd,left,acetylcholine
720575940615661661,PFNp,right,acetylcholine
720575940615664779,PFNp,left,acetylcholine
720575940615673949,PFGs,left,serotonin
720575940615682955,PFNp,left,acetylcholine
720575940615694009,PFNp,left,serotonin
720575940615742977,PFNp,right,acetylcholine
720575940615748753,PFNm,left,acetylcholine
720575940615764061,PFR,right,dopamine
720575940615782841,PFNp,left,acetylcholine
720575940615843985,ER2,left,gaba
720575940615865238,ER4m,right,gaba
720575940615916957,PFNp,left,acetylcholine
720575940615973771,PFNv,left,acetylcholine
720575940615988710,PFNp,left,acetylcholine
720575940616007005,PFNp,right,acetylcholine
720575940616025378,ER3w,right,gaba
720575940616040148,PFGs,left,glutamate
720575940616136733,PFNp,right,acetylcholine
720575940616197021,ER2,right,gaba
720575940616205083,ER3d,right,gaba
720575940616221401,PFNm,left,acetylcholine
720575940616287377,PFNp,left,acetylcholine
720575940616299348,PFNp,left,acetylcholine
720575940616328517,ER2,right,gaba
720575940616441410,ER3m,right,gaba
720575940616445250,ER3d,right,gaba
720575940616458821,IbSpsP,right,acetylcholine
720575940616459333,PEN_b(PEN2),right,acetylcholine
720575940616462310,PFNp,left,acetylcholine
720575940616501919,"ER3a_a,ER3a_d",left,gaba
720575940616502066,EPG,right,acetylcholine
720575940616505759,"ER3a_b,ER3a_c",left,gaba
720575940616506527,ER6,right,gaba
720575940616507807,"ER3a_b,ER3a_c",right,gaba
720575940616539990,ER5,left,gaba
720575940616542277,ER3p_b,left,gaba
720575940616543745,PFNv,left,acetylcholine
720575940616569601,EPG,right,acetylcholine
720575940616571682,PFNm,right,acetylcholine
720575940616571938,PFNp,right,acetylcholine
720575940616580379,PFNp,left,acetylcholine
720575940616584607,ER3w,left,gaba
720575940616599360,PFNp,right,acetylcholine
720575940616616166,Delta7,left,glutamate
720575940616654370,PFL3,right,acetylcholine
720575940616752155,ER5,left,gaba
720575940616764731,PFL1,left,acetylcholine
720575940616765469,PFNp,right,acetylcholine
720575940616769051,Delta7,right,glutamate
720575940616813858,PFR,right,serotonin
720575940616842141,PFNm,right,acetylcholine
720575940616855074,PFNa,right,acetylcholine
720575940616884765,PFNp,right,acetylcholine
720575940616885824,PFL1,right,acetylcholine
720575940616891698,ER3d,left,gaba
720575940616893746,"ER3a_a,ER3a_d",left,gaba
720575940616946662,ER1,right,gaba
720575940616966557,PFNv,right,acetylcholine
720575940616985030,Delta7,right,glutamate
720575940617098580,ER2,left,gaba
720575940617187329,ER3d,right,gaba
720575940617236667,PFGs,left,dopamine
720575940617417270,PFNp,right,acetylcholine
720575940617425781,ER3d,left,gaba
720575940617483860,ER5,left,gaba
720575940617498688,PFL2,left,acetylcholine
720575940617517691,ER1,left,gaba
720575940617523174,ER6,right,gaba
720575940617523416,PFNp,right,acetylcholine
720575940617559125,PFNp,left,acetylcholine
720575940617585624,PFNd,right,acetylcholine
720575940617630001,ER2,right,gaba
720575940617672226,LPsP,right,acetylcholine
720575940617724107,ER1,left,gaba
720575940617752537,Delta7,left,acetylcholine
720575940617769851,EPG,left,acetylcholine
720575940617819185,PFNa,right,acetylcholine
720575940617828731,PEN_b(PEN2),left,acetylcholine
720575940617920670,PFNa,right,acetylcholine
720575940618045986,ER3m,right,gaba
720575940618103513,"ER3a_a,ER3a_d",right,gaba
720575940618146901,PFNp,right,acetylcholine
720575940618153153,PFNm,left,acetylcholine
720575940618198977,PFNd,right,acetylcholine
720575940618248869,PFNp,right,acetylcholine
720575940618306469,ER3w,right,gaba
720575940618348760,PFNm,left,acetylcholine
720575940618403719,PFNa,right,acetylcholine
720575940618461349,PFNp,right,acetylcholine
720575940618508518,"ER3a_b,ER3a_c",right,gaba
720575940618608213,IbSpsP,left,acetylcholine
720575940618612952,EPG,left,acetylcholine
720575940618618350,ER1,left,gaba
720575940618627377,PFNa,right,acetylcholine
720575940618648235,PFNm,left,acetylcholine
720575940618704043,PFGs,left,dopamine
720575940618709184,PFNp,right,acetylcholine
720575940618710918,PFNp,left,acetylcholine
720575940618732782,ER3p_a,right,gaba
720575940618742864,PFNp,right,acetylcholine
720575940618746491,PFR,right,acetylcholine
720575940618759361,PFL3,left,acetylcholine
720575940618774352,PFNm,left,acetylcholine
720575940618782912,ER3p_a,left,gaba
720575940618787841,PFGs,right,glutamate
720575940618798470,PFNm,right,acetylcholine
720575940618858837,PFNa,left,acetylcholine
720575940618997440,PFNd,right,acetylcholine
720575940619006087,PFL3,right,acetylcholine
720575940619006272,EPG,right,acetylcholine
720575940619010286,PFNp,right,acetylcholine
720575940619014941,ER3d,left,gaba
720575940619051088,PFNm,left,acetylcholine
720575940619056705,PFNp,right,acetylcholine
720575940619068352,PFNp,right,acetylcholine
720575940619069093,PFNp,right,acetylcholine
720575940619072158,ER1,right,gaba
720575940619085478,PFNa,right,acetylcholine
720575940619087013,PFNm,left,acetylcholine
720575940619104539,"ER3a_b,ER3a_c",right,gaba
720575940619114689,PFNp,left,acetylcholine
720575940619160769,PFNa,right,acetylcholine
720575940619169518,Delta7,left,glutamate
720575940619185830,ER2,right,gaba
720575940619228737,PFNp,left,acetylcholine
720575940619249088,Delta7,left,glutamate
720575940619253869,PFNp,left,acetylcholine
720575940619254704,ER2,right,gaba
720575940619274416,PFNp,right,acetylcholine
720575940619296365,EPG,left,acetylcholine
720575940619401563,PFNp,left,acetylcholine
720575940619419227,PFNm,right,acetylcholine
720575940619436342,ER4m,right,gaba
720575940619469488,PFNm,left,acetylcholine
720575940619476126,PEN_a(PEN1),right,acetylcholine
720575940619477232,ER3p_a,right,gaba
720575940619489088,PFGs,left,serotonin
720575940619503445,PFNa,right,acetylcholine
720575940619574181,PFGs,left,serotonin
720575940619648116,PFL3,left,acetylcholine
720575940619658111,ER3d,right,gaba
720575940619661632,"ER3a_b,ER3a_c",left,gaba
720575940619737510,PFNa,right,acetylcholine
720575940619767744,ER3d,right,gaba
720575940619780973,PFNa,right,acetylcholine
720575940619781229,PFNa,right,acetylcholine
720575940619802800,PFL3,right,acetylcholine
720575940619818593,PFNp,right,acetylcholine
720575940619829765,ER3d,right,gaba
720575940619835892,PFNm,right,acetylcholine
720575940619843845,ER1,left,gaba
720575940619845547,ExR2_2,right,dopamine
720575940619905404,EPGt,left,acetylcholine
720575940619928917,IbSpsP,right,acetylcholine
720575940619957786,ER3p_a,right,gaba
720575940619968892,PFNp,right,acetylcholine
720575940620007412,PFNp,left,serotonin
720575940620010405,"ER3a_b,ER3a_c",right,acetylcholine
720575940620014203,PFR,left,serotonin
720575940620020694,EPG,right,acetylcholine
720575940620024534,PEG,right,acetylcholine
720575940620026502,ER3p_a,left,gaba
720575940620027515,ExR6,left,glutamate
720575940620028795,PFR,right,acetylcholine
720575940620084604,ER2,right,gaba
720575940620109082,PFNp,left,acetylcholine
720575940620139643,ER2,right,gaba
720575940620142196,PFNm,right,acetylcholine
720575940620169851,ER5,right,gaba
720575940620197441,PFGs,right,glutamate
720575940620202266,PFL3,left,acetylcholine
720575940620267073,PFNp,right,acetylcholine
720575940620282906,EPG,left,acetylcholine
720575940620391337,PFNm,left,acetylcholine
720575940620419354,EPGt,right,acetylcholine
720575940620443764,PFNp,right,serotonin
720575940620448681,ER1,right,gaba
720575940620476748,PFNp,right,acetylcholine
720575940620478847,PFNm,right,acetylcholine
720575940620552308,ExR2_1,left,dopamine
720575940620554740,PFNp,left,acetylcholine
720575940620571953,ExR4,left,acetylcholine
720575940620589082,Delta7,left,glutamate
720575940620649292,PFNm,left,acetylcholine
720575940620657140,PFL2,right,acetylcholine
720575940620664741,EPG,right,acetylcholine
720575940620668069,ER2,left,gaba
720575940620708702,PFNp,left,acetylcholine
720575940620776406,PEG,right,acetylcholine
720575940620776662,EPGt,right,acetylcholine
720575940620789697,PFNd,right,acetylcholine
720575940620818721,PFNp,left,acetylcholine
720575940620818977,PFNd,right,acetylcholine
720575940620872669,ER2,left,gaba
720575940620880007,"ER3a_a,ER3a_d",right,gaba
720575940620899964,PFNp,right,acetylcholine
720575940620952865,PFL2,right,acetylcholine
720575940620957353,PFNv,left,acetylcholine
720575940621040112,PFNa,right,acetylcholine
720575940621065677,ER1,right,gaba
720575940621066776,ER3w,right,gaba
720575940621073246,PFNp,right,acetylcholine
720575940621074835,PEN_a(PEN1),left,acetylcholine
720575940621076144,PFGs,left,acetylcholine
720575940621086079,PFNp,right,serotonin
720575940621088536,PFNd,left,acetylcholine
720575940621132065,PFNp,right,acetylcholine
720575940621155092,ER3d,right,gaba
720575940621167496,PFNp,right,acetylcholine
720575940621202200,PFNv,right,acetylcholine
720575940621252735,Delta7,left,glutamate
720575940621268830,ExR5,right,glutamate
720575940621276952,PFNd,left,acetylcholine
720575940621283760,IbSpsP,left,acetylcholine
720575940621289571,PFNp,left,acetylcholine
720575940621292996,PFNp,right,acetylcholine
720575940621341716,ER2,left,gaba
720575940621343764,PFNv,left,acetylcholine
720575940621361172,Delta7,right,glutamate
720575940621442601,PFNa,left,acetylcholine
720575940621478861,PFNp,left,serotonin
720575940621496956,PFNm,right,acetylcholine
720575940621499004,PFNp,right,acetylcholine
720575940621501380,PFNp,left,acetylcholine
720575940621502157,Delta7,right,glutamate
720575940621515391,PFR,right,acetylcholine
720575940621537023,PFNp,right,acetylcholine
720575940621569930,ER2,right,gaba
720575940621584068,"ER3a_a,ER3a_d",right,gaba
720575940621598954,PFNp,right,acetylcholine
720575940621656815,PFNm,left,acetylcholine
720575940621671593,Delta7,left,glutamate
720575940621712166,PFNv,left,acetylcholine
720575940621749226,ER3d,left,gaba
720575940621749261,PFNd,left,acetylcholine
720575940621750285,PFNp,right,acetylcholine
